"zcta10","stateco","alloc","puma10","pumaname","nameshort","per_in_puma","per_of_puma"
"11357","36081","x","04103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",1,0.158
"11358","36081","x","04103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",0.617,0.093
"11359","36081","x","04103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",,0
"11360","36081","x","04103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",0.784,0.06
"11361","36081","x","04104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",1,0.245
"11362","36081","x","04104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",1,0.153
"11363","36081","x","04104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",1,0.06
"11364","36081","x","04104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",0.998,0.295
"11365","36081","x","04106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",0.747,0.205
"11366","36081","x","04106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",1,0.088
"11367","36081","x","04106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",0.903,0.241
"11368","36081","x","04107","NYC-Queens Community District 4--Elmhurst & South Corona","Elmhurst & South Corona",0.528,0.397
"11369","36081","x","04102","NYC-Queens Community District 3--Jackson Heights & North Corona","Jackson Heights & North Corona",1,0.211
"11370","36081","x","04102","NYC-Queens Community District 3--Jackson Heights & North Corona","Jackson Heights & North Corona",0.556,0.12
"11371","36081","x","04102","NYC-Queens Community District 3--Jackson Heights & North Corona","Jackson Heights & North Corona",,0
"11372","36081","x","04102","NYC-Queens Community District 3--Jackson Heights & North Corona","Jackson Heights & North Corona",0.998,0.363
"11373","36081","x","04107","NYC-Queens Community District 4--Elmhurst & South Corona","Elmhurst & South Corona",0.874,0.603
"11374","36081","x","04108","NYC-Queens Community District 6--Forest Hills & Rego Park","Forest Hills & Rego Park",0.972,0.379
"11375","36081","x","04108","NYC-Queens Community District 6--Forest Hills & Rego Park","Forest Hills & Rego Park",1,0.614
"11377","36081","x","04109","NYC-Queens Community District 2--Sunnyside & Woodside","Sunnyside & Woodside",0.898,0.602
"11378","36081","x","04110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village","Ridgewood, Glendale & Middle Village",0.995,0.204
"11379","36081","x","04110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village","Ridgewood, Glendale & Middle Village",1,0.204
"11385","36081","x","04110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village","Ridgewood, Glendale & Middle Village",1,0.579
"11411","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.973,0.096
"11412","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.952,0.15
"11413","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.831,0.171
"11414","36081","x","04113","NYC-Queens Community District 10--Howard Beach & Ozone Park","Howard Beach & Ozone Park",1,0.212
"11415","36081","x","04111","NYC-Queens Community District 9--Richmond Hill & Woodhaven","Richmond Hill & Woodhaven",1,0.135
"11416","36081","x","04111","NYC-Queens Community District 9--Richmond Hill & Woodhaven","Richmond Hill & Woodhaven",0.971,0.169
"11417","36081","x","04113","NYC-Queens Community District 10--Howard Beach & Ozone Park","Howard Beach & Ozone Park",0.959,0.225
"11418","36081","x","04111","NYC-Queens Community District 9--Richmond Hill & Woodhaven","Richmond Hill & Woodhaven",1,0.253
"11419","36081","x","04113","NYC-Queens Community District 10--Howard Beach & Ozone Park","Howard Beach & Ozone Park",0.513,0.196
"11420","36081","x","04113","NYC-Queens Community District 10--Howard Beach & Ozone Park","Howard Beach & Ozone Park",1,0.359
"11421","36081","x","04111","NYC-Queens Community District 9--Richmond Hill & Woodhaven","Richmond Hill & Woodhaven",1,0.274
"11422","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",1,0.161
"11423","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.753,0.102
"11424","36081","x","04111","NYC-Queens Community District 9--Richmond Hill & Woodhaven","Richmond Hill & Woodhaven",,0
"11426","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",1,0.093
"11427","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.667,0.083
"11428","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.983,0.1
"11429","36081","x","04105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",0.986,0.131
"11430","36081","x","04113","NYC-Queens Community District 10--Howard Beach & Ozone Park","Howard Beach & Ozone Park",1,0.001
"11432","36081","x","04106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Briarwood, Fresh Meadows & Hillcrest",0.582,0.23
"11433","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",1,0.148
"11434","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.883,0.236
"11435","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",0.551,0.133
"11436","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",1,0.081
"11451","36081","x","04112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans","Jamaica, Hollis & St. Albans",,0
"11691","36081","x","04114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.522
"11692","36081","x","04114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.161
"11693","36081","x","04114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.104
"11694","36081","x","04114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.177
"11697","36081","x","04114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Far Rockaway, Breezy Point & Broad Channel",1,0.035
"10301","36085","x","03903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",0.966,0.218
"10302","36085","x","03903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariners Harbor","Port Richmond, Stapleton & Mariners Harbor",1,0.109
